,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
19-02-2021,ADANIPORTS,EQ,664.05,664.95,676.65,628.65,655,653.5,658.84,17553743,1.16E+15,219949,2021274,0.1151
22-02-2021,ADANIPORTS,EQ,653.5,658.8,678.5,649,672,673.8,665.66,16739107,1.11E+15,200480,2307008,0.1378
23-02-2021,ADANIPORTS,EQ,673.8,680,682.7,659.25,662,662,668.7,11247164,7.52E+14,160718,1350422,0.1201
24-02-2021,ADANIPORTS,EQ,662,666.7,671,653.4,666.4,665.2,665.04,3919187,2.61E+14,57372,707214,0.1804
25-02-2021,ADANIPORTS,EQ,665.2,669.4,711.35,667.15,705,704.3,695.14,18596690,1.29E+15,226639,2949431,0.1586
,,,,,,,,,,,,,,
01-03-2021,ADANIPORTS,EQ,675.9,684.6,704.65,673.3,697.6,692.9,688.54,11600468,7.99E+14,179958,2350242,0.2026
02-03-2021,ADANIPORTS,EQ,692.9,697.6,724.7,696,721.25,720.5,708.76,11486477,8.14E+14,170602,1582541,0.1378
03-03-2021,ADANIPORTS,EQ,720.5,732,754.95,723.4,733.25,729.85,739.56,19961472,1.48E+15,285506,4189813,0.2099
04-03-2021,ADANIPORTS,EQ,729.85,733.25,765.7,715.85,751.55,752.45,749.5,30607959,2.29E+15,388068,2462900,0.0805
05-03-2021,ADANIPORTS,EQ,752.45,752.45,761,730.5,749.65,748.95,748.31,17665200,1.32E+15,245042,2561470,0.145
08-03-2021,ADANIPORTS,EQ,748.95,762.7,767.8,744.2,747.8,748.4,754.53,15286852,1.15E+15,184855,1985582,0.1299
09-03-2021,ADANIPORTS,EQ,748.4,755.55,759.4,738.65,748,750.75,750.81,8548163,6.42E+14,119726,1101595,0.1289
10-03-2021,ADANIPORTS,EQ,750.75,757.5,759.1,743,744.3,745.35,747.93,5235249,3.92E+14,80675,889954,0.17
12-03-2021,ADANIPORTS,EQ,745.35,749,752.1,723,723.25,728.15,737.27,10961076,8.08E+14,145204,3300543,0.3011
15-03-2021,ADANIPORTS,EQ,728.15,727.8,727.8,706.05,714.9,719.05,714.38,13403595,9.58E+14,184280,4924583,0.3674
16-03-2021,ADANIPORTS,EQ,719.05,731.4,735.7,714.25,715.5,717.35,724.18,14979009,1.08E+15,214166,2382011,0.159
17-03-2021,ADANIPORTS,EQ,717.35,715,716.95,683.8,686,688.25,700.79,8151544,5.71E+14,126227,1600958,0.1964
18-03-2021,ADANIPORTS,EQ,688.25,695,705.5,675.4,680.9,679.65,691.5,10925357,7.55E+14,134874,1781340,0.163
19-03-2021,ADANIPORTS,EQ,679.65,677.4,691.5,657.1,688,686.25,676.77,10373422,7.02E+14,114618,1900394,0.1832
22-03-2021,ADANIPORTS,EQ,686.25,686,726.25,681,721.95,721.9,711.91,22864950,1.63E+15,314032,3097181,0.1355
23-03-2021,ADANIPORTS,EQ,721.9,730.25,755,727.1,736.75,738.55,743.33,30612174,2.28E+15,390324,3171865,0.1036
24-03-2021,ADANIPORTS,EQ,738.55,741,750.5,697.65,708.15,706.85,726.81,21213413,1.54E+15,273247,2649194,0.1249
25-03-2021,ADANIPORTS,EQ,706.85,711,712.35,683.15,687.6,688.25,695.13,16860086,1.17E+15,202143,2498300,0.1482
